carrier,total_carrier_amount
55b565e9b74463f0454015cea3652a2d,0.0
69a69aedc96cab57cd8e831d256e92d4,0.0
9739b9619cb966625341993b25850fd0,175349.0
b1fd4c7b51d1b7daebe1feaf6da4780f,0.0
f914f52e8051350cb177501d0705cb55,0.0
048bae07f510e42f4aba28ca638a1230,0.0
1371e8cf053adf0ff78f1d2896d6dff2,0.0
345ff1d7cddaf73ed5bd47a359b9b76a,1120.0
46e35606ede5f67565a8438bb7e7fb61,87.0
4d2b180d7ad61765d21b409a870f9768,0.0
77cc8c3bf5319d381897ab4a513515d2,2.0
8864bf36eb6c129081fd0ae05e17577a,7401.0
a9bb7bb94c4800b489409945ddb10aec,0.0
aeba224b788cdeeb4b20866b1851c267,0.0
c94520057e6332396cdb0e59ee304a75,0.0
d796496f7650020026a8e1623236ecae,0.0
0871b2f074ab0cce280de626c4bf4609,1422.0
0cc9029677c7037898553499b1455113,0.0
100a92610146bc577a4c0e92aa127335,407.0
49c3f56d9ee5ac75b78fa37f3db9e8aa,24294.0
6d5a1432270a1ab5821702fbe91b027b,0.0
a0a3d865bc4d616c75a040d96fc8edc2,0.0
dc5a14d675f50242028fb8891f365ef1,31337.0
0701b307dc28548b6eb268db61bcd3ba,1075.0
1fc8f25e4fe384024995631e91dbfd2b,0.0
20dc65090431b7fdc46cfaae0897f2f5,2.0
2f75c655048bc4325a4786aa1f1c509b,0.0
37dfb68a8f0a8f0c0c50ebf75f1bc0b0,15.0
39ac13dc6bc85881715cdabf29360964,38023.0
3b09fb265bbcd1975a8dac3957c613f1,147.0
7f72a41fbe3e89074543a7d11b3f638f,142.0
93d42b2dca22d9715803f9b5c8f4f869,0.0
dda93b9671ac88628f2650b014a9a375,1.0
2c71d7439a16ba4295c6c3b11a2be954,23.0
56e669988758cca329ef824399028b8f,12.0
7462ded60adca481ff41cab0fb8e6b31,13256.0
80c4cdd08cf6a4084da992137c8ce883,0.0
8288a5be62c9e8c9bf2e7246e35b6fd1,0.0
a36fd9fb418ebbdd8f3d2c59c9ee3b86,0.0
b95a9c6b51bfd7587e31112a6ccdc8ef,0.0
bde3e278694c81749c17c12ecc893e6e,0.0
04dbfa563df9c5083a174a711bd930bc,2485.0
0d4d3271d32a30fa38a3fb470f5e8e8c,0.0
14013d27acbe6240348459fd77444e42,2619.0
21fead57c0e2d18817db6b666364c3b7,0.0
44187d7fd85bcb24bec4794806ce4d45,0.0
55fc92b41c0d6aeeddfab7f9474958c2,0.0
6023164482c41a67ed813a2885e7d93c,13145.0
6c1cc588facccf118c93e033e13c4d21,583.0
73c4b0e4cb54c775a87b5a93233a0d5f,0.0
9a2e197e0c693fe7dec8f796520368fc,0.0
a720f47d1fb76adba7c66909117e7a63,1.0
ae763ab015e0697e889965fa4d28e9bb,24809.0
d457034e3afc179fef263f2696bb0754,0.0
fb6d8c2c5434448bde36fe5e481a8eab,139.0
07d0e828c6f3289e4f58b07a5ef6577b,286.0
0eba0275ec69df907f218ce1d03a30e0,17.0
1400a5bcc9d39a5cfa3275dd02946261,3985.0
1548f8e8ea8de62f24339ecb4310da65,3245.0
1cfcf3032d7735c73440bf1cc682016f,0.0
307b3fefb26b2b59f8066027b695c164,0.0
3e1a3d706fcdef9d1d28a854f1f27228,9.0
40a3752e1263a35ce59e6a958660a9d9,0.0
48f145eb8b015961f8bf67f09db32341,2502.0
75933ecadc0b8f22d403dcbb03dd3f7b,0.0
e8453d7516d2b6da6d34b3eea7d794b0,0.0
ff5f6d7258af1501bf876a576e99a343,10.0
1c8eb1fdaa7e6e5db5905b8f7d45caa3,16711.0
256193a6473a90dce7e705f34b35588b,0.0
478c38c6f88d0b98a2ada7c6b6b33ccc,2.0
8ae026cb3a9dfd4cb9af5e1ba5c64b92,1.0
92f6c8aa8d93cf18b6abcc6a2245ffb2,0.0
c412de8de306ae94a47e1c1501dddd06,291.0
c9f3c4d862ce4029602d1b5e79ca59c5,-38.0
2379385453ea25e7bb83e8ca6ae6a902,0.0
5a003d6f3a48dc048273fad587fda5d3,0.0
8728941a4fcfb299ae2b8c76dc23f6d4,0.0
9dc3f4bd96c7421cae2463930a739322,0.0
a5b06e7c3dcba6b00f7d159df4143c46,150.0
da5c49cf364afd3f26024b82d774bdb5,0.0
e0528c8336e9402945832baa6da15087,1530.0
e3072d574f66652f3a1258ae3284f95a,0.0
fcfab30d032a629997aa9136163b68bd,0.0
22bf6e685b8fa2c253ddc7b713c152af,0.0
2b91913830b264a08d0d53a1cbda47b5,578.0
416bd2139716793cc9f09b75d6860293,0.0
64cf6bf944dc54affb0deb8ebdffbe6d,0.0
8d1a081b37b04be27b1cada382aa88fa,58.0
9e5122e62c277cdfdec080a4d8655fd0,19113.0
b3ae94db044fbc9a862d9a3191d1d140,816.0
ba0f69dcbb6b8600304fe373b7e93147,4.0
bf4997a38d1b506849de61525c56e5ed,0.0
d41d8cd98f00b204e9800998ecf8427e,16663.0
e50d1ea71b3da0e5beff8e7ede2cd66c,114.0
ea6c4cc4c339871cee169c0aa5016494,973.0
ede4ac74ba00a9b00c8e83aee1e6f8f5,3256.0
01caedd5a80ab7d247ed6a004534c659,6887.0
0f45cf232147e78c284a9b826308f7db,0.0
12b803882c394f2ea3bc8f6ce97e4437,19726.0
241e344fe4900088540011d08ba0f121,0.0
3da4318e1e353939169a6f9e646c6563,1260.0
4cf7187f995796e5be857b653f6eacab,1.0
5e801e38aa50b9e660705ffc5f50792b,0.0
6007e84451cdfc9917991cdb07ca88d4,0.0
9034532494cc2a6de0750ed066285a79,19227.0
9bff8e9e4426c069d32459134b34a319,0.0
ae908ed131e3ab1fa1066511c7beeb05,259.0
b8dbb9487a11f2ff647e0885cd3a2ea3,0.0
b93941c0f33850d8a48e8b205f9288ab,4114.0
c4cb7ed21a64963dba9374c65bd1f08c,0.0
c5fd94c292d731095c524cc7a5351c7a,0.0
d95727812ed977678dcf32bf93e5f5f4,48099.0
e676f352a5dbc1434bbd38fbd4ae9ba1,0.0
178c0f58786d93860dbd4edc66f50592,15.0
790a0ba7942f24b12c1b6737999e048e,3.0
906adc4b0c5a53b99f6f29d33bde8129,0.0
9d2252d12159453f7189b52555eefbea,0.0
a29b9ecc04b3eef3b216b54ed90a2087,253.0
b1fda3967bd4ca1ce8d09ef72e534e0d,0.0
c40ca969aaf929f4b4115899456fe1a8,222.0
25fda5a7ecd018463318113dfb17a594,0.0
2e0313dda85d6b235ee7a50deec65e9b,210.0
487cfb8a6b7ccd4c69c50526021a4b7d,2003.0
5b78c8289bf01f4f37ee653db636f6a0,0.0
5b798e36ecef9503c87f19a507112943,7237.0
70cd2ac349779867c532fd2162880afd,183.0
72c0abc078190194bfa861ac3eb427f4,1.0
835953cdb29d7e21938ca4b891e4009a,0.0
98005911965eba934c869f94125e03c2,0.0
a48130d205fd5cf1e2d03074312e9952,54.0
aeb71bb7eb30672068dcc2b9f3d9d2e6,152.0
af616c762cd78a7859163d1cbbbb7075,0.0
e521194554728889aa98799e053c48cb,0.0
f6946699e5b04d2817acd0b4fd7b6971,156965.0
fad5efe230ac39b1fdab7945e1661c11,350.0
27df895ca0a14b19a9e1644cd2f72aff,0.0
2cbf65e312f4bb00c0c4d63275d7fb6f,0.0
3bd3f3a1e655bd39d68fb9944a599c3f,185.0
451b0342ca924f481ca5a8240937fbb4,0.0
87558b5205a61a952b4a3ff9001c116f,3020.0
b1edab1860e037bc823452214d7466d5,27953.0
db30008a85e1d05bc6fc1916923dcd9a,85.0
f2d1c0397b91fb6d1d611b3484af3085,71.0
fa597638d041c2f553ff87ed1dde3a61,0.0
fe1fc21f1b04de9ac5afcf742c2de15d,0.0
34483bfd6b66f39de5dcdd93fa59a11a,668.0
3a005d109bcb02bc3a1bff03000f3451,35391.0
3bc90f0bb9b8226ec57e7e1786bb3ab6,0.0
51f4dda6767c8a8c60fa65d6eb6b05b4,1.0
55d8ada2eb2aeea3e9ebbefbc5d108bd,0.0
59580cfa978d43d079d63f31dd4d336d,0.0
61b91a1c78615dbe3faa5bd5b805eb3b,2015.0
91ffad6ba4e7a632e9037008d7d24df4,0.0
93bf4e89eeaafb11f820aca40ed1ecd3,54.0
d636b3169042a7b3aa81dcd82fe03cf8,11572.0
dfb7bce9bba84f8a502fadbf6301c78c,0.0
fdbec45c34098d99dc5b4d338beac9ee,8531.0
ff21d23dda56fcd2c93b77d25ff68d82,0.0
0352cc983f5e53226416d95d85e60480,1366.0
1218aef464bf84d2df94d6439c697a44,865.0
21b8e1d01a7932bbce05b5e35f5056f5,3335.0
25027c1410e8dd8e96de182c4cbe8615,4.0
72eb7ef48ed274fc06a39348670a6f9c,1583.0
76f22594abcaf6493ede597a2a3828f4,0.0
86975383a8143e4e3f0ca51661850266,5.0
f6f609d6931a2aacefd1e13e24247541,94.0
00e1c4dba39ddb5ec436928ad2603cf0,0.0
0e67b17b31d65a29ff12696288619947,338.0
363c645d47fa1ccf76378b59f65b8898,0.0
44e40a1792ca5d7179de53f467ee0f01,4.0
4579d31e4d30683c2d85411afc38534f,0.0
4a42404a84ef786951e71b2054691266,0.0
7f0c5b755f0c494838829b85c5d702e0,0.0
b339e4624b15d10107d7b42eaefa1b3e,0.0
e9a912e049b084bb9dcaf39d1f7a2035,0.0
eab3bba3f4defff1e85a22bc572865cd,203.0
f2ba190d5e93050082520c602cec3cc2,386.0
f332bf01cbd4d027dc42596a83d9f6e2,0.0
fe473ae3c15b943ec91fd3482475c9f0,2019.0
54f05ef47f0ac2e5cbc3e7ffaa5f921b,21.0
85aabdd0774dda49e3aff9dc7026da66,0.0
8df5e3766d77c301f0c0fa45c2585042,1398.0
98b10dff3d7ddb041e52e9ed6cef96b7,119.0
aa2aee870065900d639f1b94e981969d,0.0
b57ce6f20e3fb04505a1b93dc83a2b2d,3899.0
bdcdf7fd2de724f300da3a468afad156,1.0
0eaaada6738dc311dd82dd1a16414a11,2.0
132e2e915bc60da4276138cc4f819ed3,27105.0
31198cf68f6a7d064a70b8d0ec5707cb,0.0
39335014c6d1d398ac67562d14ef41b0,0.0
4b829c9487448d589271c723cdd6d97d,74.0
64a4b8940b9fa40afc40f8a5ba633271,130161.0
9ddde7bced29e33c03bc029a3d68699d,0.0
9fdcf3481a83837cd41f4f1849ac8b5a,0.0
b0436074f81a81837637234c67314125,6916.0
d2ee044db78f76ba2cab639a23cf1c25,0.0
f6fc916ba0f9d3c6a850167409daed6a,0.0
087b79b9b18eca349fad7631f4f346d3,0.0
191cc92dd01cc3fc4901ff6222f619f4,1.0
22919b329804558904efe36ba055a774,8.0
2fbdb41962098d774454195d6143106d,0.0
7eda51a0e4b3566643c8378ce2564d18,473.0
a7f45bfb9fc53b51dbcf7f40c9fcf95c,7869.0
eb9d5e2cc9226b62e84b2a0305f2e216,1.0
ed1d60ae1b6fd8dfd0c1aff3f4cd9e8a,0.0
0c8d15c6af8532e93be4fcd322b2aa9c,0.0
13b6e7786750d9e2e29fc87f27d6da7e,0.0
151e9eb77f80b2a2a968d6d7dcb508a5,0.0
3840b2259119b598ddb942de111fcc0f,0.0
5b424b42234f79cea5047e8a51bdccbe,1177.0
65027a7331d5bfc61c9a70fd3b3f1832,0.0
87c2abd3c9313ec9b37c0096dfa20c58,0.0
87c3e530674f106dfafe3c8c773377a1,0.0
9a53fab61c4281675ec08f6ec0ddfc65,386.0
c2b9e7156f48acef3c637e2e384e7a3e,0.0
ef2c58dab462527d548f05d3a5048e86,327.0
ff7eb6db81696dc0442db95cd2d486f2,0.0
016875a53dbb7731eb901a4c8b86e045,240922.0
06b15d3af713e318d123274a98d70bc9,3381.0
0feb836f2e6e7e40f239f72b22e7d7b4,900.0
10278d92e6921fb2eca3bf00948a103e,0.0
4fa2bd14756a5d2e5d42422365c0460e,6.0
4ff0eff360cbebb578ddfba519f1ba3e,0.0
7dd9535fca394af48a70b1e4e2950f4e,0.0
800b7f19620a7c704c8bd3b6d027910c,1432.0
8bf8eec2cd39f7bd9e8db12686a5fe00,0.0
b14e9dc16f408a2448279de6ad3de107,5120.0
bad0198c44b9caa207ece805c0076769,0.0
c7e77c6ff09e6658aaac4759164f80eb,5.0
d2255bc7db83e56ffae1800a2014b3ab,0.0
d98e25a08e6f2334e42bf87e385db0b2,0.0
da88d661c420b110ad9fccdf7932a57c,0.0
122d357a3e3df1b95355004e122bcf7a,13416.0
1b2f79d9acec12187650b22b2ac53bf8,44337.0
5fe323de45b446c28c105ac768bfcc3c,98.0
6d79886f6c4b04836d18cd461b51d659,18238.0
6fbb61989d56141f9881acff3e849bb5,336.0
8d17d05b529bbe71074d3a2464d650e2,1386.0
93e53a16abd287b6ed18ef57891c1724,428.0
a12f7b990a9d06eed01ceba76eeb5909,25.0
ac4d0c1939c35a4f2809605b0cb04cb6,26.0
b5f80a18af8ee3a2f2d858f10d7e4ea7,677.0
b960f55e6e83be523a8e2fd3c20cd7d8,0.0
carrier_id,0.0
f06352cb06c25d4d6f0eca7817d7ef7d,0.0
